"TA-TAD","Property_Type","House_Index","Date"
"Central Hawkes Bay District","Houses","1410","2010-12-31"
"Central Hawkes Bay District","All dwellings","1423","2010-12-31"
"New Plymouth District","Houses","1713","2010-12-31"
"New Plymouth District","All dwellings","1737","2010-12-31"
"Stratford District","All dwellings","2344","2010-12-31"
"Stratford District","Houses","2444","2010-12-31"
"South Taranaki District","All dwellings","1963","2010-12-31"
"South Taranaki District","Houses","2014","2010-12-31"
"Ruapehu District","All dwellings","2233","2010-12-31"
"Ruapehu District","Houses","2311","2010-12-31"
"Wanganui District","All dwellings","1957","2010-12-31"
"Wanganui District","Houses","2061","2010-12-31"
"Rangitikei District","All dwellings","1999","2010-12-31"
"Rangitikei District","Houses","2013","2010-12-31"
"Manawatu District","Houses","1697","2010-12-31"
"Manawatu District","All dwellings","1712","2010-12-31"
"Palmerston North City","All dwellings","1525","2010-12-31"
"Palmerston North City","Houses","1527","2010-12-31"
"Tararua District","All dwellings","1837","2010-12-31"
"Tararua District","Houses","1900","2010-12-31"
"Horowhenua District","All dwellings","1702","2010-12-31"
"Horowhenua District","Houses","1724","2010-12-31"
"Kapiti Coast District","All dwellings","1570","2010-12-31"
"Kapiti Coast District","Houses","1581","2010-12-31"
"Porirua City","All dwellings","1584","2010-12-31"
"Porirua City","Houses","1598","2010-12-31"
"Upper Hutt City","Houses","1618","2010-12-31"
"Upper Hutt City","All dwellings","1659","2010-12-31"
"Lower Hutt City","All dwellings","1569","2010-12-31"
"Lower Hutt City","Houses","1575","2010-12-31"
"Wellington City","All dwellings","1401","2010-12-31"
"Wellington City","Houses","1438","2010-12-31"
"Masterton District","All dwellings","1546","2010-12-31"
"Masterton District","Houses","1578","2010-12-31"
"Carterton District","Houses","1682","2010-12-31"
"Carterton District","All dwellings","1692","2010-12-31"
"South Wairarapa District","Houses","1631","2010-12-31"
"South Wairarapa District","All dwellings","1643","2010-12-31"
"Tasman District","All dwellings","1172","2010-12-31"
"Tasman District","Houses","1188","2010-12-31"
"Nelson City","Houses","1137","2010-12-31"
"Nelson City","All dwellings","1140","2010-12-31"
"Marlborough District","All dwellings","1303","2010-12-31"
"Marlborough District","Houses","1325","2010-12-31"
"Kaikoura District","Houses","1345","2010-12-31"
"Kaikoura District","All dwellings","1364","2010-12-31"
"Buller District","Houses","2002","2010-12-31"
"Buller District","All dwellings","2151","2010-12-31"
"Grey District","All dwellings","2153","2010-12-31"
"Grey District","Houses","2177","2010-12-31"
"Westland District","All dwellings","2133","2010-12-31"
"Westland District","Houses","2188","2010-12-31"
"Hurunui District","Houses","1716","2010-12-31"
"Hurunui District","All dwellings","1733","2010-12-31"
"Waimakariri District","All dwellings","1559","2010-12-31"
"Waimakariri District","Houses","1563","2010-12-31"
"Christchurch City","All dwellings","1560","2010-12-31"
"Christchurch City","Houses","1565","2010-12-31"
"Selwyn District","Houses","1831","2010-12-31"
"Selwyn District","All dwellings","1942","2010-12-31"
"Ashburton District","All dwellings","1722","2010-12-31"
"Ashburton District","Houses","1751","2010-12-31"
"Timaru District","All dwellings","1780","2010-12-31"
"Timaru District","Houses","1839","2010-12-31"
"MacKenzie District","Houses","1731","2010-12-31"
"MacKenzie District","All dwellings","1750","2010-12-31"
"Waimate District","All dwellings","2021","2010-12-31"
"Waimate District","Houses","2085","2010-12-31"
"Waitaki District","All dwellings","1481","2010-12-31"
"Waitaki District","Houses","1595","2010-12-31"
"New Zealand","All dwellings","1442","2011-03-31"
"New Zealand","Houses","1448","2011-03-31"
"Main Urban Areas","All dwellings","1404","2011-03-31"
"Main Urban Areas","Houses","1409","2011-03-31"
"Auckland Area","Houses","1352","2011-03-31"
"Auckland Area","All dwellings","1357","2011-03-31"
"Wellington Area","All dwellings","1463","2011-03-31"
"Wellington Area","Houses","1487","2011-03-31"
"Far North District","Houses","1416","2011-03-31"
"Far North District","All dwellings","1500","2011-03-31"
"Whangarei District","All dwellings","1492","2011-03-31"
"Whangarei District","Houses","1517","2011-03-31"
"Kaipara District","All dwellings","1607","2011-03-31"
"Kaipara District","Houses","1710","2011-03-31"
"Rodney District","Houses","1429","2011-03-31"
"Rodney District","All dwellings","1440","2011-03-31"
"North Shore City","Houses","1412","2011-03-31"
"North Shore City","All dwellings","1422","2011-03-31"
"Waitakere City","All dwellings","1404","2011-03-31"
"Waitakere City","Houses","1411","2011-03-31"
"Auckland City","All dwellings","1270","2011-03-31"
"Auckland City","Houses","1297","2011-03-31"
"Manukau City","Houses","1434","2011-03-31"
"Manukau City","All dwellings","1443","2011-03-31"
"Papakura District","Houses","1405","2011-03-31"
"Papakura District","All dwellings","1449","2011-03-31"
"Franklin District","Houses","1609","2011-03-31"
"Franklin District","All dwellings","1621","2011-03-31"
"Thames-Coromandel District","All dwellings","1270","2011-03-31"
"Thames-Coromandel District","Houses","1314","2011-03-31"
"Hauraki District","Houses","1724","2011-03-31"
"Hauraki District","All dwellings","1732","2011-03-31"
"Waikato District","Houses","1689","2011-03-31"
"Waikato District","All dwellings","1733","2011-03-31"
"Matamata-Piako District","All dwellings","1797","2011-03-31"
"Matamata-Piako District","Houses","1823","2011-03-31"
"Hamilton City","All dwellings","1560","2011-03-31"
"Hamilton City","Houses","1591","2011-03-31"
"Waipa District","Houses","1712","2011-03-31"
"Waipa District","All dwellings","1734","2011-03-31"
"Otorohanga District","All dwellings","1926","2011-03-31"
"Otorohanga District","Houses","1946","2011-03-31"
"South Waikato District","All dwellings","2053","2011-03-31"
"South Waikato District","Houses","2141","2011-03-31"
"Waitomo District","Houses","1632","2011-03-31"
"Waitomo District","All dwellings","1740","2011-03-31"
"Taupo District","All dwellings","1170","2011-03-31"
"Taupo District","Houses","1251","2011-03-31"
"Western Bay of Plenty District","All dwellings","1509","2011-03-31"
"Western Bay of Plenty District","Houses","1627","2011-03-31"
"Tauranga City","Houses","1272","2011-03-31"
"Tauranga City","All dwellings","1295","2011-03-31"
"Rotorua District","All dwellings","1572","2011-03-31"
"Rotorua District","Houses","1609","2011-03-31"
"Whakatane District","Houses","1492","2011-03-31"
"Whakatane District","All dwellings","1600","2011-03-31"
"Kawerau District","All dwellings","2186","2011-03-31"
"Kawerau District","Houses","2297","2011-03-31"
"Opotiki District","Houses","1559","2011-03-31"
"Opotiki District","All dwellings","1858","2011-03-31"
"Gisborne District","All dwellings","1726","2011-03-31"
"Gisborne District","Houses","1821","2011-03-31"
"Wairoa District","All dwellings","1573","2011-03-31"
"Wairoa District","Houses","1745","2011-03-31"
"Hastings District","Houses","1414","2011-03-31"
"Hastings District","All dwellings","1427","2011-03-31"
"Napier City","Houses","1314","2011-03-31"
"Napier City","All dwellings","1319","2011-03-31"
"Central Hawkes Bay District","All dwellings","1462","2011-03-31"
"Central Hawkes Bay District","Houses","1463","2011-03-31"
"New Plymouth District","Houses","1694","2011-03-31"
"New Plymouth District","All dwellings","1721","2011-03-31"
"Stratford District","All dwellings","2468","2011-03-31"
"Stratford District","Houses","2587","2011-03-31"
"South Taranaki District","All dwellings","2035","2011-03-31"
"South Taranaki District","Houses","2081","2011-03-31"
"Ruapehu District","All dwellings","2217","2011-03-31"
"Ruapehu District","Houses","2302","2011-03-31"
"Wanganui District","All dwellings","1926","2011-03-31"
"Wanganui District","Houses","2023","2011-03-31"
"Rangitikei District","All dwellings","1882","2011-03-31"
"Rangitikei District","Houses","1918","2011-03-31"
"Manawatu District","Houses","1679","2011-03-31"
"Manawatu District","All dwellings","1688","2011-03-31"
"Palmerston North City","All dwellings","1513","2011-03-31"
"Palmerston North City","Houses","1526","2011-03-31"
"Tararua District","All dwellings","1872","2011-03-31"
"Tararua District","Houses","1932","2011-03-31"
"Horowhenua District","All dwellings","1697","2011-03-31"
"Horowhenua District","Houses","1703","2011-03-31"
"Kapiti Coast District","All dwellings","1547","2011-03-31"
"Kapiti Coast District","Houses","1569","2011-03-31"
"Porirua City","All dwellings","1566","2011-03-31"
"Porirua City","Houses","1595","2011-03-31"
"Upper Hutt City","Houses","1612","2011-03-31"
"Upper Hutt City","All dwellings","1653","2011-03-31"
"Lower Hutt City","All dwellings","1530","2011-03-31"
"Lower Hutt City","Houses","1540","2011-03-31"
"Wellington City","All dwellings","1393","2011-03-31"
"Wellington City","Houses","1434","2011-03-31"
"Masterton District","All dwellings","1518","2011-03-31"
"Masterton District","Houses","1562","2011-03-31"
"Carterton District","All dwellings","1580","2011-03-31"
"Carterton District","Houses","1593","2011-03-31"
"South Wairarapa District","Houses","1615","2011-03-31"
"South Wairarapa District","All dwellings","1615","2011-03-31"
"Tasman District","All dwellings","1176","2011-03-31"
